exp_no,activity,activity_no,reps,start_index,end_index
1,Reading a book,1,1,28,1453
2,Writing on a notebook,2,1,19,1493
3,Typing,3,1,28,1409
4,Browsing,4,1,32,1410
5,Moving head and body,5,1,20,1493
6,Moving chair,6,1,43,1314
7,Stand up from sitting,7,1,168,203
7,Stand up from sitting,7,2,424,477
7,Stand up from sitting,7,3,681,729
7,Stand up from sitting,7,4,924,959
7,Stand up from sitting,7,5,1149,1189
7,Stand up from sitting,7,6,1357,1406
7,Stand up from sitting,7,7,1569,1618
7,Stand up from sitting,7,8,1773,1821
7,Stand up from sitting,7,9,1989,2029
7,Stand up from sitting,7,10,2179,2224
7,Stand up from sitting,7,11,2378,2423
7,Sitting down from standing,12,1,296,349
7,Sitting down from standing,12,2,552,597
7,Sitting down from standing,12,3,804,849
7,Sitting down from standing,12,4,1034,1074
7,Sitting down from standing,12,5,1255,1300
7,Sitting down from standing,12,6,1459,1503
7,Sitting down from standing,12,7,1675,1720
7,Sitting down from standing,12,8,1883,1927
7,Sitting down from standing,12,9,2100,2140
7,Sitting down from standing,12,10,2286,2321
7,Sitting down from standing,12,11,2458,2502
8,Reading a book,1,1,8,1293
9,Writing on a notebook,2,1,18,1293
10,Typing,3,1,9,1233
11,Browsing,4,1,9,1335
12,Moving head and body,5,1,57,1429
13,Moving chair,6,1,22,1457
14,Stand up from sitting,7,1,38,92
14,Stand up from sitting,7,2,224,285
14,Stand up from sitting,7,3,423,483
14,Stand up from sitting,7,4,622,670
14,Stand up from sitting,7,5,796,856
14,Stand up from sitting,7,6,1013,1067
14,Stand up from sitting,7,7,1205,1265
14,Stand up from sitting,7,8,1422,1470
14,Stand up from sitting,7,9,1590,1626
14,Stand up from sitting,7,10,1807,1855
14,Stand up from sitting,7,11,1999,2048
14,Stand up from sitting,7,12,2192,2234
14,Stand up from sitting,7,13,2373,2421
14,Sitting down from standing,12,1,128,176
14,Sitting down from standing,12,2,333,399
14,Sitting down from standing,12,3,525,597
14,Sitting down from standing,12,4,688,754
14,Sitting down from standing,12,5,904,971
14,Sitting down from standing,12,6,1103,1169
14,Sitting down from standing,12,7,1307,1368
14,Sitting down from standing,12,8,1500,1548
14,Sitting down from standing,12,9,1693,1747
14,Sitting down from standing,12,10,1915,1957
14,Sitting down from standing,12,11,2096,2156
14,Sitting down from standing,12,12,2282,2348
14,Sitting down from standing,12,13,2463,2505
15,Reading a book,1,1,15,1289
16,Writing on a notebook,2,1,49,1377
17,Typing,3,1,22,1379
18,Browsing,4,1,20,1360
19,Moving head and body,5,1,32,1401
20,Moving chair,6,1,30,1235
21,Stand up from sitting,7,1,38,75
21,Stand up from sitting,7,2,200,242
21,Stand up from sitting,7,3,398,440
21,Stand up from sitting,7,4,565,596
21,Stand up from sitting,7,5,721,763
21,Stand up from sitting,7,6,878,919
21,Stand up from sitting,7,7,1034,1086
