exp_no,activity,activity_no,reps,start_index,end_index
1,Reading a book,1,1,123,7322
2,Writing on a notebook,2,1,155,7571
3,Typing,3,1,256,6002
4,Browsing,4,1,209,6895
5,Moving head and body,5,1,13,7344
6,Moving chair,6,1,24,6136
7,Stand up from sitting,7,1,795,1183
7,Stand up from sitting,7,2,2115,2400
7,Stand up from sitting,7,3,3460,3667
7,Stand up from sitting,7,4,4651,4935
7,Stand up from sitting,7,5,5815,6074
7,Stand up from sitting,7,6,6902,7130
7,Stand up from sitting,7,7,7963,8170
7,Stand up from sitting,7,8,8972,9308
7,Stand up from sitting,7,9,10085,10292
7,Stand up from sitting,7,10,11120,11327
7,Stand up from sitting,7,11,12051,12310
7,Sitting down from standing,12,1,1390,1778
7,Sitting down from standing,12,2,2788,3176
7,Sitting down from standing,12,3,4030,4392
7,Sitting down from standing,12,4,5727,5634
7,Sitting down from standing,12,5,6359,6643
7,Sitting down from standing,12,6,7394,7730
7,Sitting down from standing,12,7,8558,8791
7,Sitting down from standing,12,8,9593,9826
7,Sitting down from standing,12,9,10654,10990
7,Sitting down from standing,12,10,11586,11896
7,Sitting down from standing,12,11,12491,12724
8,Reading a book,1,1,23,6002
9,Writing on a notebook,2,1,97,5987
10,Typing,3,1,833,6304
11,Browsing,4,1,1003,6703
12,Moving head and body,5,1,64,7423
13,Moving chair,6,1,81,7442
14,Stand up from sitting,7,1,225,471
14,Stand up from sitting,7,2,1188,1411
14,Stand up from sitting,7,3,2217,2508
14,Stand up from sitting,7,4,3202,3403
14,Stand up from sitting,7,5,4075,4321
14,Stand up from sitting,7,6,5149,5440
14,Stand up from sitting,7,7,6111,6402
14,Stand up from sitting,7,8,7163,7454
14,Stand up from sitting,7,9,8081,8371
14,Stand up from sitting,7,10,9200,9446
14,Stand up from sitting,7,11,10162,10408
14,Stand up from sitting,7,12,11147,11415
14,Stand up from sitting,7,13,12042,12333
14,Sitting down from standing,12,1,683,954
14,Sitting down from standing,12,2,1743,1966
14,Sitting down from standing,12,3,2730,2928
14,Sitting down from standing,12,4,3569,3915
14,Sitting down from standing,12,5,4605,4902
14,Sitting down from standing,12,6,5617,5913
14,Sitting down from standing,12,7,6678,6925
14,Sitting down from standing,12,8,7615,7813
14,Sitting down from standing,12,9,8602,8849
14,Sitting down from standing,12,10,9688,10033
14,Sitting down from standing,12,11,10675,10922
14,Sitting down from standing,12,12,11612,11958
14,Sitting down from standing,12,13,12476,12698
15,Reading a book,1,1,190,6509
16,Writing on a notebook,2,1,138,6687
17,Typing,3,1,263,7091
18,Browsing,4,1,206,7002
19,Moving head and body,5,1,104,7256
20,Moving chair,6,1,141,6380
21,Stand up from sitting,7,1,185,417
21,Stand up from sitting,7,2,1110,1342
21,Stand up from sitting,7,3,1993,2246
