exp_no,activity,activity_no,reps,start_index,end_index
1,Reading a book,1,1,123,7322
2,Writing on a notebook,2,1,155,7571
3,Typing,3,1,256,6002
4,Browsing,4,1,209,6895
5,Moving head and body,5,1,13,7344
6,Moving chair,6,1,24,6136
7,Stand up from sitting,7,1,795,1093
7,Stand up from sitting,7,2,2026,2425
7,Stand up from sitting,7,3,3358,3784
7,Stand up from sitting,7,4,4615,4963
7,Stand up from sitting,7,5,5766,6157
7,Stand up from sitting,7,6,6786,7199
7,Stand up from sitting,7,7,7915,8263
7,Stand up from sitting,7,8,8957,9370
7,Stand up from sitting,7,9,10021,10347
7,Stand up from sitting,7,10,11063,11411
7,Stand up from sitting,7,11,12040,12310
7,Sitting down from standing,12,1,1390,1866
7,Sitting down from standing,12,2,2745,3224
7,Sitting down from standing,12,3,3997,4311
7,Sitting down from standing,12,4,5202,5571
7,Sitting down from standing,12,5,6309,6678
7,Sitting down from standing,12,6,7373,7807
7,Sitting down from standing,12,7,8458,8892
7,Sitting down from standing,12,8,9500,9934
7,Sitting down from standing,12,9,10586,10955
7,Sitting down from standing,12,10,11519,11935
7,Sitting down from standing,12,11,12453,12724
8,Reading a book,1,1,23,6002
9,Writing on a notebook,2,1,97,5987
10,Typing,3,1,833,6304
11,Browsing,4,1,1003,6703
12,Moving head and body,5,1,64,7423
13,Moving chair,6,1,81,7442
14,Stand up from sitting,7,1,225,499
14,Stand up from sitting,7,2,1190,1435
14,Stand up from sitting,7,3,2237,2527
14,Stand up from sitting,7,4,3195,3440
14,Stand up from sitting,7,5,4064,4354
14,Stand up from sitting,7,6,5156,5445
14,Stand up from sitting,7,7,6136,6381
14,Stand up from sitting,7,8,7183,7473
14,Stand up from sitting,7,9,8119,8275
14,Stand up from sitting,7,10,9144,9434
14,Stand up from sitting,7,11,10236,10437
14,Stand up from sitting,7,12,11127,11417
14,Stand up from sitting,7,13,12108,12333
14,Sitting down from standing,12,1,683,1011
14,Sitting down from standing,12,2,1747,1992
14,Sitting down from standing,12,3,2705,3017
14,Sitting down from standing,12,4,3596,3886
14,Sitting down from standing,12,5,4599,4955
14,Sitting down from standing,12,6,5646,5891
14,Sitting down from standing,12,7,6671,7005
14,Sitting down from standing,12,8,7629,7874
14,Sitting down from standing,12,9,8632,8966
14,Sitting down from standing,12,10,9679,10035
14,Sitting down from standing,12,11,10637,10971
14,Sitting down from standing,12,12,11640,11996
14,Sitting down from standing,12,13,12486,12698
15,Reading a book,1,1,190,6509
16,Writing on a notebook,2,1,138,6687
17,Typing,3,1,263,7091
18,Browsing,4,1,206,7002
19,Moving head and body,5,1,104,7256
20,Moving chair,6,1,141,6380
21,Stand up from sitting,7,1,185,417
21,Stand up from sitting,7,2,1114,1429
21,Stand up from sitting,7,3,2013,2260
