epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1568490716224,2019-09-14T15:51:56.224,0.000,0.262,0.917,0.143
1568490716234,2019-09-14T15:51:56.234,0.010,0.273,0.923,0.146
1568490716244,2019-09-14T15:51:56.244,0.020,0.287,0.934,0.145
1568490716254,2019-09-14T15:51:56.254,0.030,0.292,0.939,0.141
1568490716264,2019-09-14T15:51:56.264,0.040,0.287,0.927,0.139
1568490716274,2019-09-14T15:51:56.274,0.050,0.272,0.910,0.137
1568490716284,2019-09-14T15:51:56.284,0.060,0.269,0.900,0.135
1568490716294,2019-09-14T15:51:56.294,0.070,0.260,0.904,0.129
1568490716304,2019-09-14T15:51:56.304,0.080,0.249,0.896,0.127
1568490716314,2019-09-14T15:51:56.314,0.090,0.236,0.888,0.123
1568490716324,2019-09-14T15:51:56.324,0.100,0.219,0.898,0.109
1568490716334,2019-09-14T15:51:56.334,0.110,0.196,0.929,0.095
1568490716344,2019-09-14T15:51:56.344,0.120,0.188,0.962,0.083
1568490716354,2019-09-14T15:51:56.354,0.130,0.184,0.976,0.070
1568490716364,2019-09-14T15:51:56.364,0.140,0.172,0.976,0.060
1568490716374,2019-09-14T15:51:56.374,0.150,0.165,0.978,0.044
1568490716384,2019-09-14T15:51:56.384,0.160,0.161,0.983,0.028
1568490716394,2019-09-14T15:51:56.394,0.170,0.154,0.981,0.014
1568490716404,2019-09-14T15:51:56.404,0.180,0.150,0.975,-0.000
1568490716414,2019-09-14T15:51:56.414,0.190,0.153,0.969,-0.024
1568490716424,2019-09-14T15:51:56.424,0.200,0.168,0.980,-0.038
1568490716434,2019-09-14T15:51:56.434,0.210,0.178,0.989,-0.054
1568490716444,2019-09-14T15:51:56.444,0.220,0.184,0.984,-0.068
1568490716454,2019-09-14T15:51:56.454,0.230,0.191,0.980,-0.078
1568490716464,2019-09-14T15:51:56.464,0.240,0.201,0.989,-0.088
1568490716474,2019-09-14T15:51:56.474,0.250,0.201,0.997,-0.092
1568490716484,2019-09-14T15:51:56.484,0.260,0.193,0.994,-0.095
1568490716494,2019-09-14T15:51:56.494,0.270,0.190,0.992,-0.101
1568490716504,2019-09-14T15:51:56.504,0.280,0.176,0.996,-0.104
1568490716514,2019-09-14T15:51:56.514,0.290,0.157,1.004,-0.107
1568490716524,2019-09-14T15:51:56.524,0.300,0.146,1.009,-0.113
1568490716534,2019-09-14T15:51:56.534,0.310,0.138,1.014,-0.112
1568490716544,2019-09-14T15:51:56.544,0.320,0.128,1.003,-0.111
1568490716554,2019-09-14T15:51:56.554,0.330,0.114,0.987,-0.112
1568490716564,2019-09-14T15:51:56.564,0.340,0.106,0.971,-0.113
1568490716574,2019-09-14T15:51:56.574,0.350,0.104,0.970,-0.111
1568490716584,2019-09-14T15:51:56.584,0.360,0.100,0.981,-0.113
1568490716594,2019-09-14T15:51:56.594,0.370,0.093,0.985,-0.113
1568490716604,2019-09-14T15:51:56.604,0.380,0.092,0.993,-0.113
1568490716614,2019-09-14T15:51:56.614,0.390,0.096,1.003,-0.110
1568490716624,2019-09-14T15:51:56.624,0.400,0.090,0.990,-0.097
1568490716634,2019-09-14T15:51:56.634,0.410,0.084,0.971,-0.091
1568490716644,2019-09-14T15:51:56.644,0.420,0.081,0.984,-0.091
1568490716654,2019-09-14T15:51:56.654,0.430,0.072,1.007,-0.093
1568490716664,2019-09-14T15:51:56.664,0.440,0.063,0.997,-0.090
1568490716674,2019-09-14T15:51:56.674,0.450,0.054,0.982,-0.085
1568490716684,2019-09-14T15:51:56.684,0.460,0.044,0.988,-0.083
1568490716694,2019-09-14T15:51:56.694,0.470,0.042,0.986,-0.078
1568490716704,2019-09-14T15:51:56.704,0.480,0.045,0.974,-0.078
1568490716714,2019-09-14T15:51:56.714,0.490,0.048,0.978,-0.073
1568490716724,2019-09-14T15:51:56.724,0.500,0.048,0.986,-0.072
1568490716734,2019-09-14T15:51:56.734,0.510,0.049,0.983,-0.074
1568490716744,2019-09-14T15:51:56.744,0.520,0.057,0.975,-0.075
1568490716754,2019-09-14T15:51:56.754,0.530,0.062,0.971,-0.080
1568490716764,2019-09-14T15:51:56.764,0.540,0.067,0.966,-0.077
1568490716774,2019-09-14T15:51:56.774,0.550,0.077,0.957,-0.081
1568490716784,2019-09-14T15:51:56.784,0.560,0.072,0.950,-0.084
1568490716794,2019-09-14T15:51:56.794,0.570,0.071,0.941,-0.087
1568490716804,2019-09-14T15:51:56.804,0.580,0.069,0.934,-0.093
1568490716814,2019-09-14T15:51:56.814,0.590,0.070,0.934,-0.095
1568490716824,2019-09-14T15:51:56.824,0.600,0.079,0.946,-0.099
1568490716834,2019-09-14T15:51:56.834,0.610,0.087,0.957,-0.098
1568490716844,2019-09-14T15:51:56.844,0.620,0.093,0.965,-0.102
1568490716854,2019-09-14T15:51:56.854,0.630,0.094,0.968,-0.102
1568490716864,2019-09-14T15:51:56.864,0.640,0.095,0.980,-0.101
1568490716874,2019-09-14T15:51:56.874,0.650,0.099,0.986,-0.098
1568490716884,2019-09-14T15:51:56.884,0.660,0.095,0.988,-0.091
1568490716894,2019-09-14T15:51:56.894,0.670,0.094,0.994,-0.091
1568490716904,2019-09-14T15:51:56.904,0.680,0.089,0.997,-0.084
1568490716914,2019-09-14T15:51:56.914,0.690,0.094,0.995,-0.074
1568490716924,2019-09-14T15:51:56.924,0.700,0.095,0.995,-0.074
1568490716934,2019-09-14T15:51:56.934,0.710,0.099,0.993,-0.067
1568490716944,2019-09-14T15:51:56.944,0.720,0.103,0.992,-0.066
1568490716954,2019-09-14T15:51:56.954,0.730,0.110,0.997,-0.060
1568490716964,2019-09-14T15:51:56.964,0.740,0.123,1.006,-0.055
1568490716974,2019-09-14T15:51:56.974,0.750,0.130,1.009,-0.052
1568490716984,2019-09-14T15:51:56.984,0.760,0.129,1.006,-0.048
1568490716994,2019-09-14T15:51:56.994,0.770,0.133,1.000,-0.041
1568490717004,2019-09-14T15:51:57.004,0.780,0.135,0.995,-0.035
1568490717014,2019-09-14T15:51:57.014,0.790,0.128,0.983,-0.033
1568490717024,2019-09-14T15:51:57.024,0.800,0.124,0.972,-0.030
1568490717034,2019-09-14T15:51:57.034,0.810,0.126,0.968,-0.034
1568490717044,2019-09-14T15:51:57.044,0.820,0.131,0.970,-0.035
1568490717054,2019-09-14T15:51:57.054,0.830,0.135,0.970,-0.034
1568490717064,2019-09-14T15:51:57.064,0.840,0.136,0.962,-0.038
1568490717074,2019-09-14T15:51:57.074,0.850,0.140,0.959,-0.041
1568490717084,2019-09-14T15:51:57.084,0.860,0.149,0.961,-0.038
1568490717094,2019-09-14T15:51:57.094,0.870,0.157,0.958,-0.036
1568490717104,2019-09-14T15:51:57.104,0.880,0.162,0.961,-0.036
1568490717114,2019-09-14T15:51:57.114,0.890,0.173,0.964,-0.039
1568490717124,2019-09-14T15:51:57.124,0.900,0.173,0.967,-0.037
1568490717134,2019-09-14T15:51:57.134,0.910,0.169,0.964,-0.035
1568490717144,2019-09-14T15:51:57.144,0.920,0.167,0.961,-0.036
1568490717154,2019-09-14T15:51:57.154,0.930,0.164,0.961,-0.035
1568490717164,2019-09-14T15:51:57.164,0.940,0.156,0.954,-0.034
1568490717174,2019-09-14T15:51:57.174,0.950,0.147,0.950,-0.033
1568490717184,2019-09-14T15:51:57.184,0.960,0.148,0.950,-0.033
1568490717194,2019-09-14T15:51:57.194,0.970,0.145,0.948,-0.029
1568490717204,2019-09-14T15:51:57.204,0.980,0.143,0.950,-0.029
1568490717214,2019-09-14T15:51:57.214,0.990,0.133,0.951,-0.027
