epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568490716148,2019-09-14T15:51:56.148,0.000,0.854,0.488,2.683
1568490716158,2019-09-14T15:51:56.158,0.010,1.098,1.037,3.476
1568490716168,2019-09-14T15:51:56.168,0.020,1.951,0.000,3.171
1568490716178,2019-09-14T15:51:56.178,0.030,3.537,-1.220,3.232
1568490716188,2019-09-14T15:51:56.188,0.040,4.634,-2.012,3.232
1568490716198,2019-09-14T15:51:56.198,0.050,4.878,-2.683,2.988
1568490716208,2019-09-14T15:51:56.208,0.060,5.732,-3.720,2.622
1568490716218,2019-09-14T15:51:56.218,0.070,6.890,-4.695,2.134
1568490716228,2019-09-14T15:51:56.228,0.080,7.439,-5.549,1.463
1568490716238,2019-09-14T15:51:56.238,0.090,7.622,-6.341,0.854
1568490716248,2019-09-14T15:51:56.248,0.100,8.354,-7.012,0.061
1568490716258,2019-09-14T15:51:56.258,0.110,8.780,-7.256,-0.671
1568490716268,2019-09-14T15:51:56.268,0.120,8.720,-7.134,-1.707
1568490716278,2019-09-14T15:51:56.278,0.130,9.024,-7.195,-3.354
1568490716288,2019-09-14T15:51:56.288,0.140,10.061,-7.378,-5.244
1568490716298,2019-09-14T15:51:56.298,0.150,11.341,-7.866,-7.195
1568490716308,2019-09-14T15:51:56.308,0.160,12.256,-8.415,-9.207
1568490716318,2019-09-14T15:51:56.318,0.170,14.085,-9.634,-11.159
1568490716328,2019-09-14T15:51:56.328,0.180,16.524,-11.463,-12.622
1568490716338,2019-09-14T15:51:56.338,0.190,18.963,-13.780,-13.232
1568490716348,2019-09-14T15:51:56.348,0.200,21.159,-16.524,-13.476
1568490716358,2019-09-14T15:51:56.358,0.210,21.585,-18.598,-13.232
1568490716368,2019-09-14T15:51:56.368,0.220,21.341,-20.305,-12.744
1568490716378,2019-09-14T15:51:56.378,0.230,21.585,-21.951,-12.317
1568490716388,2019-09-14T15:51:56.388,0.240,22.134,-23.476,-12.073
1568490716398,2019-09-14T15:51:56.398,0.250,22.256,-24.939,-11.890
1568490716408,2019-09-14T15:51:56.408,0.260,22.500,-26.159,-11.890
1568490716418,2019-09-14T15:51:56.418,0.270,23.110,-27.256,-12.378
1568490716428,2019-09-14T15:51:56.428,0.280,23.537,-27.500,-13.293
1568490716438,2019-09-14T15:51:56.438,0.290,23.232,-26.829,-13.902
1568490716448,2019-09-14T15:51:56.448,0.300,22.500,-25.549,-14.329
1568490716458,2019-09-14T15:51:56.458,0.310,22.317,-24.085,-14.512
1568490716468,2019-09-14T15:51:56.468,0.320,22.500,-22.439,-14.634
1568490716478,2019-09-14T15:51:56.478,0.330,22.073,-20.305,-14.512
1568490716488,2019-09-14T15:51:56.488,0.340,21.098,-17.683,-14.390
1568490716498,2019-09-14T15:51:56.498,0.350,20.183,-15.000,-14.329
1568490716508,2019-09-14T15:51:56.508,0.360,19.329,-12.500,-13.841
1568490716518,2019-09-14T15:51:56.518,0.370,18.415,-10.244,-12.622
1568490716528,2019-09-14T15:51:56.528,0.380,17.378,-8.049,-11.341
